pc,count,inst_type_hint
0x800002f4,8388608,VLW12_V
0x800002f8,8388608,VLW12_V
0x80000314,8388608,SETRPC
0x80000318,8388608,VBEQ
0x8000031c,7864320,JAL
0x800002ec,4194304,VADD_VX
0x800002f0,4194304,VADD_VV
0x800002fc,4194304,VFMADD_VV
0x80000300,4194304,VADD_VI
0x80000304,4194304,ADDI
0x80000308,4194304,VMV_V_X
0x80000310,4194304,AUIPC
0x8000030c,4194304,VADD12_VI
0x80000240,524288,LW
0x80000250,524288,SETRPC
0x80000254,524288,VBEQ
0x80000258,524288,JAL
0x80000268,524288,VLW12_V
0x80000288,524288,LW
0x80000298,524288,SETRPC
0x8000029c,524288,VBEQ
0x800002a0,524288,JAL
0x800002b0,524288,VLW12_V
0x800002c8,524288,JAL
0x800002e0,524288,SETRPC
0x800002e4,524288,VBLT
0x8000022c,262144,VMV_V_X
0x80000230,262144,VMSLT_VX
0x80000234,262144,VADD_VV
0x80000238,262144,VMSLT_VX
0x8000023c,262144,LUI
0x80000244,262144,VAND_VV
0x80000248,262144,VMV_V_X
0x8000024c,262144,AUIPC
0x8000025c,262144,VADD_VV
0x80000260,262144,VSLL_VI
0x80000264,262144,VADD_VX
0x8000026c,262144,JOIN
0x80000270,262144,VMV_V_X
0x80000274,262144,VMSLT_VX
0x80000278,262144,VSW12_V
0x8000027c,262144,VADD_VV
0x80000284,262144,LUI
0x80000280,262144,VMSLT_VX
0x8000028c,262144,VAND_VV
0x80000290,262144,VMV_V_X
0x80000294,262144,AUIPC
0x800002a4,262144,VMADD_VX
0x800002a8,262144,VSLL_VI
0x800002ac,262144,VADD_VX
0x800002b4,262144,JOIN
0x800002b8,262144,VSW12_V
0x800002c0,262144,VMV_V_X
0x800002c4,262144,VADD_VX
0x800002cc,262144,JOIN
0x800002d0,262144,VADD12_VI
0x800002d4,262144,VMV_V_X
0x800002dc,262144,AUIPC
0x800001e0,16384,LW
0x800001f0,16384,JAL
0x800001f8,16384,LW
0x80000204,16384,JAL
0x800002e8,16384,JAL
0x80000220,16384,SETRPC
0x80000224,16384,VBNE
0x80000340,16384,SETRPC
0x80000344,16384,VBLT
0x800001dc,8192,LUI
0x800001e4,8192,VADD_VV
0x800001e8,8192,VMV_V_X
0x800001ec,8192,BGE
0x800001f4,8192,LUI
0x800001fc,8192,VMV_V_X
0x80000200,8192,VMV_V_X
0x80000208,8192,JOIN
0x8000020c,8192,VMV_V_X
0x80000210,8192,VMSLT_VX
0x80000214,8192,VMSLT_VX
0x8000021c,8192,AUIPC
0x80000218,8192,VAND_VV
0x80000320,8192,VADD_VV
0x80000324,8192,VSLL_VI
0x80000328,8192,VADD_VX
0x8000032c,8192,VSW12_V
0x80000330,8192,JOIN
0x80000334,8192,VADD12_VI
0x80000338,8192,VMV_V_X
0x8000033c,8192,AUIPC
0x80000188,512,JAL
0x8000019c,512,JAL
0x80000348,512,JAL
0x800001d0,512,SETRPC
0x800001d4,512,VBLT
0x800001b4,396,REGEXT
0x800001b8,272,VMV_V_X
0x80000184,256,BGE
0x8000018c,256,VADD_VV
0x80000190,256,VMUL_VX
0x80000194,256,VMUL_VX
0x80000198,256,VMV_V_X
0x800001c0,256,JOIN
0x800001c4,256,VADD12_VI
0x800001c8,256,VMV_V_X
0x800001cc,256,AUIPC
0x80000124,40,VLW_V
0x80000364,32,SETRPC
0x80000368,32,VBEQ
0x8000036c,32,JAL
0x8000037c,32,SETRPC
0x80000380,32,VBEQ
0x800003b8,32,LW
0x800003c0,32,JALR
0x80000110,24,VSW_V
0x80000120,24,REGEXT
0x80000014,16,CSRRS
0x8000001c,16,CSRRS
0x80000020,16,CSRRS
0x80000034,16,CSRRS
0x80000064,16,CSRRS
0x80000068,16,LW
0x8000006c,16,LW
0x80000070,16,LW
0x80000074,16,LW
0x80000098,16,CSRRW
0x800000c8,16,REGEXT
0x8000009c,16,JALR
0x800000cc,16,VMV_V_X
0x800000d4,16,LW
0x800000dc,16,LW
0x8000010c,16,REGEXT
0x800000e4,16,LW
0x800000ec,16,LW
0x800000f4,16,LW
0x800000fc,16,LW
0x80000108,16,JAL
0x8000034c,16,ADDI
0x80000350,16,SW
0x80000354,16,VADD_VX
0x80000358,16,ADDI
0x80000360,16,AUIPC
0x8000035c,16,VMV_V_X
0x80000370,16,ADDI
0x80000374,16,VMV_V_X
0x80000378,16,AUIPC
0x80000384,16,JAL
0x80000394,16,SETRPC
0x80000398,16,VBNE
0x8000039c,16,JAL
0x800003a0,16,JAL
0x800003cc,16,CSRRS
0x800003d0,16,LW
0x800003d4,16,CSRRS
0x800003e0,16,LW
0x800003e8,16,LW
0x800003f0,16,JALR
0x800003a4,16,JAL
0x800003b4,16,JOIN
0x800003bc,16,ADDI
0x8000011c,16,JAL
0x800003a8,16,JAL
0x800003fc,16,CSRRS
0x80000400,16,LW
0x80000404,16,CSRRS
0x80000410,16,LW
0x80000414,16,LW
0x8000042c,16,SETRPC
0x80000430,16,VBLT
0x80000440,16,LW
0x80000448,16,JALR
0x800003ac,16,JAL
0x80000128,16,LW
0x8000012c,16,LW
0x80000130,16,LW
0x80000134,16,LW
0x80000138,16,LW
0x8000013c,16,LW
0x80000144,16,JAL
0x800001d8,16,JAL
0x800001a4,16,LW
0x800001bc,16,JALR
0x80000000,8,AUIPC
0x80000004,8,ADDI
0x80000008,8,ADDI
0x8000000c,8,VSETVLI
0x80000010,8,LUI
0x80000018,8,ADDI
0x80000024,8,ADDI
0x80000028,8,MUL
0x8000002c,8,ADD
0x80000030,8,ADDI
0x80000038,8,ADDI
0x8000003c,8,MUL
0x80000040,8,ADD
0x80000044,8,AUIPC
0x80000048,8,ADDI
0x8000004c,8,AUIPC
0x80000050,8,ADDI
0x80000054,8,BEQ
0x80000078,8,AUIPC
0x8000007c,8,ADDI
0x80000080,8,AUIPC
0x80000084,8,ADDI
0x80000088,8,SW
0x8000008c,8,SW
0x80000090,8,AUIPC
0x80000094,8,ADDI
0x800000b8,8,ADDI
0x800000bc,8,ADDI
0x800000c0,8,ADDI
0x800000c4,8,ADDI
0x800000d0,8,SW
0x800000d8,8,SW
0x800000e0,8,SW
0x800000e8,8,SW
0x800000f0,8,SW
0x800000f8,8,SW
0x80000100,8,SW
0x80000104,8,VMV_V_X
0x80000388,8,VMV_V_X
0x8000038c,8,VMV_V_X
0x80000390,8,AUIPC
0x800003c4,8,ADDI
0x800003c8,8,SW
0x800003d8,8,VID_V
0x800003dc,8,VADD_VX
0x800003e4,8,VREMU_VX
0x800003ec,8,ADDI
0x80000114,8,ADDI
0x80000118,8,VMV_V_X
0x800003f4,8,ADDI
0x800003f8,8,SW
0x80000408,8,VID_V
0x8000040c,8,VADD_VX
0x80000418,8,MUL
0x8000041c,8,VREMU_VX
0x80000420,8,VDIVU_VX
0x80000428,8,AUIPC
0x80000424,8,VMV_V_X
0x8000043c,8,JOIN
0x80000444,8,ADDI
0x80000140,8,BGE
0x80000148,8,VSLL_VI
0x8000014c,8,VADD_VV
0x80000150,8,VSLL_VI
0x80000154,8,ADDI
0x80000158,8,ADDI
0x8000015c,8,VADD_VX
0x80000160,8,VMV_V_X
0x80000164,8,ADDI
0x80000168,8,VADD_VX
0x8000016c,8,VMV_V_X
0x80000170,8,VSLL_VI
0x80000174,8,VADD_VV
0x80000178,8,VSLL_VI
0x8000017c,8,VADD_VV
0x80000180,8,VMV_V_X
0x800001a0,8,JOIN
0x800001a8,8,ADDI
0x800001ac,8,ADDI
0x800001b0,8,ADDI
0x800000a0,8,ENDPRG
