warp,inst_type,count
0,AUIPC,624684
0,ADDI,524322
0,VSETVLI,1
0,LUI,67585
0,CSRRS,18
0,MUL,3
0,ADD,2
0,BEQ,1
0,LW,135220
0,SW,13
0,CSRRW,2
0,REGEXT,57
0,JALR,12
0,VMV_V_X,726128
0,VSW_V,3
0,VLW_V,5
0,JAL,1186008
0,VADD_VX,623622
0,SETRPC,1249356
0,VBEQ,1179656
0,VBNE,2050
0,VID_V,2
0,VREMU_VX,2
0,JOIN,100388
0,VDIVU_VX,1
0,VBLT,67650
0,BGE,1057
0,VSLL_VI,66564
0,VADD_VV,624675
0,VMUL_VX,64
0,VMSLT_VX,133120
0,VAND_VV,66560
0,VLW12_V,2228224
0,VSW12_V,66560
0,VMADD_VX,32768
0,VFMADD_VV,524288
0,VADD_VI,524288
0,VADD12_VI,558112
0,ENDPRG,1
1,AUIPC,624684
1,ADDI,524322
1,VSETVLI,1
1,LUI,67585
1,CSRRS,18
1,MUL,3
1,ADD,2
1,BEQ,1
1,LW,135220
1,SW,13
1,CSRRW,2
1,REGEXT,46
1,JALR,12
1,VMV_V_X,726128
1,VSW_V,3
1,VLW_V,5
1,JAL,1186008
1,VADD_VX,623622
1,SETRPC,1249356
1,VBEQ,1179656
1,VBNE,2050
1,VID_V,2
1,VREMU_VX,2
1,JOIN,100388
1,VDIVU_VX,1
1,VBLT,67650
1,BGE,1057
1,VSLL_VI,66564
1,VADD_VV,624675
1,VMUL_VX,64
1,VMSLT_VX,133120
1,VAND_VV,66560
1,VLW12_V,2228224
1,VSW12_V,66560
1,VMADD_VX,32768
1,VFMADD_VV,524288
1,VADD_VI,524288
1,VADD12_VI,558112
1,ENDPRG,1
2,AUIPC,624684
2,ADDI,524322
2,VSETVLI,1
2,LUI,67585
2,CSRRS,18
2,MUL,3
2,ADD,2
2,BEQ,1
2,LW,135220
2,SW,13
2,CSRRW,2
2,REGEXT,50
2,JALR,12
2,VMV_V_X,726128
2,VSW_V,3
2,VLW_V,5
2,JAL,1186008
2,VADD_VX,623622
2,SETRPC,1249356
2,VBEQ,1179656
2,VBNE,2050
2,VID_V,2
2,VREMU_VX,2
2,JOIN,100388
2,VDIVU_VX,1
2,VBLT,67650
2,BGE,1057
2,VSLL_VI,66564
2,VADD_VV,624675
2,VMUL_VX,64
2,VMSLT_VX,133120
2,VAND_VV,66560
2,VLW12_V,2228224
2,VSW12_V,66560
2,VMADD_VX,32768
2,VFMADD_VV,524288
2,VADD_VI,524288
2,VADD12_VI,558112
2,ENDPRG,1
3,AUIPC,624684
3,ADDI,524322
3,VSETVLI,1
3,LUI,67585
3,CSRRS,18
3,MUL,3
3,ADD,2
3,BEQ,1
3,LW,135220
3,SW,13
3,CSRRW,2
3,REGEXT,49
3,JALR,12
3,VMV_V_X,726128
3,VSW_V,3
3,VLW_V,5
3,JAL,1186008
3,VADD_VX,623622
3,SETRPC,1249356
3,VBEQ,1179656
3,VBNE,2050
3,VID_V,2
3,VREMU_VX,2
3,JOIN,100388
3,VDIVU_VX,1
3,VBLT,67650
3,BGE,1057
3,VSLL_VI,66564
3,VADD_VV,624675
3,VMUL_VX,64
3,VMSLT_VX,133120
3,VAND_VV,66560
3,VLW12_V,2228224
3,VSW12_V,66560
3,VMADD_VX,32768
3,VFMADD_VV,524288
3,VADD_VI,524288
3,VADD12_VI,558112
3,ENDPRG,1
4,AUIPC,624684
4,ADDI,524322
4,VSETVLI,1
4,LUI,67585
4,CSRRS,18
4,MUL,3
4,ADD,2
4,BEQ,1
4,LW,135220
4,SW,13
4,CSRRW,2
4,REGEXT,62
4,JALR,12
4,VMV_V_X,726128
4,VSW_V,3
4,VLW_V,5
4,JAL,1186008
4,VADD_VX,623622
4,SETRPC,1249356
4,VBEQ,1179656
4,VBNE,2050
4,VID_V,2
4,VREMU_VX,2
4,JOIN,100388
4,VDIVU_VX,1
4,VBLT,67650
4,BGE,1057
4,VSLL_VI,66564
4,VADD_VV,624675
4,VMUL_VX,64
4,VMSLT_VX,133120
4,VAND_VV,66560
4,VLW12_V,2228224
4,VSW12_V,66560
4,VMADD_VX,32768
4,VFMADD_VV,524288
4,VADD_VI,524288
4,VADD12_VI,558112
4,ENDPRG,1
5,AUIPC,624684
5,ADDI,524322
5,VSETVLI,1
5,LUI,67585
5,CSRRS,18
5,MUL,3
5,ADD,2
5,BEQ,1
5,LW,135220
5,SW,13
5,CSRRW,2
5,REGEXT,70
5,JALR,12
5,VMV_V_X,726128
5,VSW_V,3
5,VLW_V,5
5,JAL,1186008
5,VADD_VX,623622
5,SETRPC,1249356
5,VBEQ,1179656
5,VBNE,2050
5,VID_V,2
5,VREMU_VX,2
5,JOIN,100388
5,VDIVU_VX,1
5,VBLT,67650
5,BGE,1057
5,VSLL_VI,66564
5,VADD_VV,624675
5,VMUL_VX,64
5,VMSLT_VX,133120
5,VAND_VV,66560
5,VLW12_V,2228224
5,VSW12_V,66560
5,VMADD_VX,32768
5,VFMADD_VV,524288
5,VADD_VI,524288
5,VADD12_VI,558112
5,ENDPRG,1
6,AUIPC,624684
6,ADDI,524322
6,VSETVLI,1
6,LUI,67585
6,CSRRS,18
6,MUL,3
6,ADD,2
6,BEQ,1
6,LW,135220
6,SW,13
6,CSRRW,2
6,REGEXT,68
6,JALR,12
6,VMV_V_X,726128
6,VSW_V,3
6,VLW_V,5
6,JAL,1186008
6,VADD_VX,623622
6,SETRPC,1249356
6,VBEQ,1179656
6,VBNE,2050
6,VID_V,2
6,VREMU_VX,2
6,JOIN,100388
6,VDIVU_VX,1
6,VBLT,67650
6,BGE,1057
6,VSLL_VI,66564
6,VADD_VV,624675
6,VMUL_VX,64
6,VMSLT_VX,133120
6,VAND_VV,66560
6,VLW12_V,2228224
6,VSW12_V,66560
6,VMADD_VX,32768
6,VFMADD_VV,524288
6,VADD_VI,524288
6,VADD12_VI,558112
6,ENDPRG,1
7,AUIPC,624684
7,ADDI,524322
7,VSETVLI,1
7,LUI,67585
7,CSRRS,18
7,MUL,3
7,ADD,2
7,BEQ,1
7,LW,135220
7,SW,13
7,CSRRW,2
7,REGEXT,50
7,JALR,12
7,VMV_V_X,726128
7,VSW_V,3
7,VLW_V,5
7,JAL,1186008
7,VADD_VX,623622
7,SETRPC,1249356
7,VBEQ,1179656
7,VBNE,2050
7,VID_V,2
7,VREMU_VX,2
7,JOIN,100388
7,VDIVU_VX,1
7,VBLT,67650
7,BGE,1057
7,VSLL_VI,66564
7,VADD_VV,624675
7,VMUL_VX,64
7,VMSLT_VX,133120
7,VAND_VV,66560
7,VLW12_V,2228224
7,VSW12_V,66560
7,VMADD_VX,32768
7,VFMADD_VV,524288
7,VADD_VI,524288
7,VADD12_VI,558112
7,ENDPRG,1
