event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
208,1,6,325518035,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518035ns,1 [trace decode.cpp:72]",325517985,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @325517985ns,1 [trace exec_salu.cpp:339]",325518075,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518075ns,1 [trace exec_salu.cpp:108]",0
210,1,2,325518075,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @325518075ns,1 [trace decode.cpp:72]",325518025,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @325518025ns,1 [trace exec_salu.cpp:339]",325518095,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @325518095ns,1 [trace exec_salu.cpp:108]",0
217,1,3,352487055,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @352487055ns,1 [trace decode.cpp:72]",352487055,0x80000188,JAL,"SM 1 warp 3 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @352487055ns,1 [trace exec_salu.cpp:108]",352487065,0x80000188,JAL,"SM 1 warp 3 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @352487065ns,1 [trace regfile.cpp:87]",0
218,1,0,352487065,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @352487065ns,1 [trace decode.cpp:72]",352487065,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @352487065ns,1 [trace exec_salu.cpp:108]",352487075,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @352487075ns,1 [trace regfile.cpp:87]",0
220,1,6,352487045,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @352487045ns,1 [trace decode.cpp:72]",352486995,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @352486995ns,1 [trace exec_salu.cpp:339]",352487085,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @352487085ns,1 [trace exec_salu.cpp:108]",0
222,1,2,352487085,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @352487085ns,1 [trace decode.cpp:72]",352487035,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @352487035ns,1 [trace exec_salu.cpp:339]",352487105,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @352487105ns,1 [trace exec_salu.cpp:108]",0
229,1,5,379307205,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @379307205ns,1 [trace decode.cpp:72]",379307205,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @379307205ns,1 [trace exec_salu.cpp:108]",379307215,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @379307215ns,1 [trace regfile.cpp:87]",0
230,1,4,379307215,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @379307215ns,1 [trace decode.cpp:72]",379307215,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @379307215ns,1 [trace exec_salu.cpp:108]",379307225,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @379307225ns,1 [trace regfile.cpp:87]",0
232,1,2,379307195,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @379307195ns,1 [trace decode.cpp:72]",379307145,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @379307145ns,1 [trace exec_salu.cpp:339]",379307235,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @379307235ns,1 [trace exec_salu.cpp:108]",0
234,1,6,379307235,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @379307235ns,1 [trace decode.cpp:72]",379307185,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @379307185ns,1 [trace exec_salu.cpp:339]",379307255,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @379307255ns,1 [trace exec_salu.cpp:108]",0
241,1,5,406274655,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @406274655ns,1 [trace decode.cpp:72]",406274655,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @406274655ns,1 [trace exec_salu.cpp:108]",406274665,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @406274665ns,1 [trace regfile.cpp:87]",0
242,1,6,406274665,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @406274665ns,1 [trace decode.cpp:72]",406274665,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @406274665ns,1 [trace exec_salu.cpp:108]",406274675,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @406274675ns,1 [trace regfile.cpp:87]",0
244,1,4,406274645,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @406274645ns,1 [trace decode.cpp:72]",406274595,0x80000184,BGE,"SM 1 warp 4 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @406274595ns,1 [trace exec_salu.cpp:339]",406274685,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @406274685ns,1 [trace exec_salu.cpp:108]",0
246,1,0,406274685,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @406274685ns,1 [trace decode.cpp:72]",406274635,0x80000184,BGE,"SM 1 warp 0 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @406274635ns,1 [trace exec_salu.cpp:339]",406274705,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @406274705ns,1 [trace exec_salu.cpp:108]",0
253,1,6,433109595,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @433109595ns,1 [trace decode.cpp:72]",433109595,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @433109595ns,1 [trace exec_salu.cpp:108]",433109605,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @433109605ns,1 [trace regfile.cpp:87]",0
254,1,5,433109605,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @433109605ns,1 [trace decode.cpp:72]",433109605,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @433109605ns,1 [trace exec_salu.cpp:108]",433109615,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @433109615ns,1 [trace regfile.cpp:87]",0
256,1,3,433109585,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @433109585ns,1 [trace decode.cpp:72]",433109535,0x80000184,BGE,"SM 1 warp 3 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @433109535ns,1 [trace exec_salu.cpp:339]",433109625,0x80000188,JAL,"SM 1 warp 3 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @433109625ns,1 [trace exec_salu.cpp:108]",0
258,1,7,433109625,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @433109625ns,1 [trace decode.cpp:72]",433109575,0x80000184,BGE,"SM 1 warp 7 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @433109575ns,1 [trace exec_salu.cpp:339]",433109645,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @433109645ns,1 [trace exec_salu.cpp:108]",0
265,1,5,461362965,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @461362965ns,1 [trace decode.cpp:72]",461362965,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @461362965ns,1 [trace exec_salu.cpp:108]",461362975,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @461362975ns,1 [trace regfile.cpp:87]",0
266,1,4,461362975,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @461362975ns,1 [trace decode.cpp:72]",461362975,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @461362975ns,1 [trace exec_salu.cpp:108]",461362985,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @461362985ns,1 [trace regfile.cpp:87]",0
268,1,2,461362955,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @461362955ns,1 [trace decode.cpp:72]",461362905,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @461362905ns,1 [trace exec_salu.cpp:339]",461362995,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @461362995ns,1 [trace exec_salu.cpp:108]",0
270,1,6,461362995,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @461362995ns,1 [trace decode.cpp:72]",461362945,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @461362945ns,1 [trace exec_salu.cpp:339]",461363015,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @461363015ns,1 [trace exec_salu.cpp:108]",0
277,1,6,488169915,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @488169915ns,1 [trace decode.cpp:72]",488169915,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @488169915ns,1 [trace exec_salu.cpp:108]",488169925,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @488169925ns,1 [trace regfile.cpp:87]",0
278,1,5,488169925,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @488169925ns,1 [trace decode.cpp:72]",488169925,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @488169925ns,1 [trace exec_salu.cpp:108]",488169935,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @488169935ns,1 [trace regfile.cpp:87]",0
280,1,3,488169905,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @488169905ns,1 [trace decode.cpp:72]",488169855,0x80000184,BGE,"SM 1 warp 3 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @488169855ns,1 [trace exec_salu.cpp:339]",488169945,0x80000188,JAL,"SM 1 warp 3 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @488169945ns,1 [trace exec_salu.cpp:108]",0
282,1,7,488169945,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @488169945ns,1 [trace decode.cpp:72]",488169895,0x80000184,BGE,"SM 1 warp 7 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @488169895ns,1 [trace exec_salu.cpp:339]",488169965,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @488169965ns,1 [trace exec_salu.cpp:108]",0
289,1,6,515115525,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @515115525ns,1 [trace decode.cpp:72]",515115525,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @515115525ns,1 [trace exec_salu.cpp:108]",515115535,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @515115535ns,1 [trace regfile.cpp:87]",0
290,1,5,515115535,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @515115535ns,1 [trace decode.cpp:72]",515115535,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @515115535ns,1 [trace exec_salu.cpp:108]",515115545,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @515115545ns,1 [trace regfile.cpp:87]",0
292,1,3,515115515,0x800001b4,REGEXT,"SM 1 warp 3 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @515115515ns,1 [trace decode.cpp:72]",515115465,0x80000184,BGE,"SM 1 warp 3 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @515115465ns,1 [trace exec_salu.cpp:339]",515115555,0x80000188,JAL,"SM 1 warp 3 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @515115555ns,1 [trace exec_salu.cpp:108]",0
294,1,7,515115555,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @515115555ns,1 [trace decode.cpp:72]",515115505,0x80000184,BGE,"SM 1 warp 7 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @515115505ns,1 [trace exec_salu.cpp:339]",515115575,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @515115575ns,1 [trace exec_salu.cpp:108]",0
301,1,5,542057025,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @542057025ns,1 [trace decode.cpp:72]",542057025,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @542057025ns,1 [trace exec_salu.cpp:108]",542057035,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @542057035ns,1 [trace regfile.cpp:87]",0
302,1,6,542057035,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @542057035ns,1 [trace decode.cpp:72]",542057035,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @542057035ns,1 [trace exec_salu.cpp:108]",542057045,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @542057045ns,1 [trace regfile.cpp:87]",0
304,1,4,542057015,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @542057015ns,1 [trace decode.cpp:72]",542056965,0x80000184,BGE,"SM 1 warp 4 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @542056965ns,1 [trace exec_salu.cpp:339]",542057055,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @542057055ns,1 [trace exec_salu.cpp:108]",0
306,1,0,542057055,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @542057055ns,1 [trace decode.cpp:72]",542057005,0x80000184,BGE,"SM 1 warp 0 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @542057005ns,1 [trace exec_salu.cpp:339]",542057075,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @542057075ns,1 [trace exec_salu.cpp:108]",0
313,1,4,569026185,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @569026185ns,1 [trace decode.cpp:72]",569026185,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @569026185ns,1 [trace exec_salu.cpp:108]",569026195,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @569026195ns,1 [trace regfile.cpp:87]",0
314,1,7,569026195,0x800001b4,REGEXT,"SM 1 warp 7 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @569026195ns,1 [trace decode.cpp:72]",569026195,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @569026195ns,1 [trace exec_salu.cpp:108]",569026205,0x80000188,JAL,"SM 1 warp 7 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @569026205ns,1 [trace regfile.cpp:87]",0
316,1,5,569026175,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @569026175ns,1 [trace decode.cpp:72]",569026125,0x80000184,BGE,"SM 1 warp 5 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @569026125ns,1 [trace exec_salu.cpp:339]",569026215,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @569026215ns,1 [trace exec_salu.cpp:108]",0
318,1,1,569026215,0x800001b4,REGEXT,"SM 1 warp 1 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @569026215ns,1 [trace decode.cpp:72]",569026165,0x80000184,BGE,"SM 1 warp 1 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @569026165ns,1 [trace exec_salu.cpp:339]",569026235,0x80000188,JAL,"SM 1 warp 1 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @569026235ns,1 [trace exec_salu.cpp:108]",0
325,1,5,595993665,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @595993665ns,1 [trace decode.cpp:72]",595993665,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @595993665ns,1 [trace exec_salu.cpp:108]",595993675,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @595993675ns,1 [trace regfile.cpp:87]",0
